YEAR,STATE,STATE ABBREV.,GDP,HOMEOWNERSHIP(%)
2018,South Carolina,SC,202771,72.0
1997,South Dakota,SD,24976,67.6
1998,South Dakota,SD,26452,67.3
1999,South Dakota,SD,27501,70.7
2000,South Dakota,SD,29407,71.2
2001,South Dakota,SD,29746,71.5
2002,South Dakota,SD,32958,71.5
2003,South Dakota,SD,33657,70.9
2004,South Dakota,SD,35071,68.5
2005,South Dakota,SD,35907,68.4
2006,South Dakota,SD,36459,70.6
2007,South Dakota,SD,38057,70.4
2008,South Dakota,SD,39643,70.4
2009,South Dakota,SD,39732,69.6
2010,South Dakota,SD,40130,70.6
2011,South Dakota,SD,42794,69.3
2012,South Dakota,SD,43445,69.2
2013,South Dakota,SD,43602,67.8
2014,South Dakota,SD,44100,69.2
2015,South Dakota,SD,45266,70.1
2016,South Dakota,SD,45424,69.4
2017,South Dakota,SD,45265,67.8
2018,South Dakota,SD,45874,69.1
1997,Tennesse,TN,210844,70.2
1998,Tennesse,TN,223769,71.3
1999,Tennesse,TN,230418,71.9
2000,Tennesse,TN,233153,70.9
2001,Tennesse,TN,232723,69.7
2002,Tennesse,TN,240522,70.3
2003,Tennesse,TN,247824,70.8
2004,Tennesse,TN,259337,71.6
2005,Tennesse,TN,264652,72.4
2006,Tennesse,TN,271465,71.3
2007,Tennesse,TN,268756,70.2
2008,Tennesse,TN,272011,71.7
2009,Tennesse,TN,263016,71.1
2010,Tennesse,TN,266727,71.0
2011,Tennesse,TN,274804,69.3
2012,Tennesse,TN,283722,67.9
2013,Tennesse,TN,286801,66.8
2014,Tennesse,TN,291527,66.7
2015,Tennesse,TN,300581,66.5
2016,Tennesse,TN,306343,66.4
2017,Tennesse,TN,313573,67.2
2018,Tennesse,TN,322898,68.0
1997,Texas,TX,872763,61.5
1998,Texas,TX,928374,62.5
1999,Texas,TX,965677,62.9
2000,Texas,TX,998297,63.8
2001,Texas,TX,1021889,63.9
2002,Texas,TX,1041811,63.4
2003,Texas,TX,1048299,64.5
2004,Texas,TX,1102696,65.5
2005,Texas,TX,1132796,65.9
2006,Texas,TX,1210287,66.0
2007,Texas,TX,1274303,66.0
2008,Texas,TX,1275774,65.5
2009,Texas,TX,1271436,65.4
2010,Texas,TX,1301727,65.3
2011,Texas,TX,1343791,64.3
2012,Texas,TX,1411379,64.3
2013,Texas,TX,1472104,63.3
2014,Texas,TX,1512351,62.2
2015,Texas,TX,1589956,61.9
2016,Texas,TX,1593149,61.5
2017,Texas,TX,1624949,61.7
2018,Texas,TX,1676679,62.7
1997,Utah,UT,57700,72.5
1998,Utah,UT,62291,73.7
1999,Utah,UT,66023,74.7
2000,Utah,UT,70292,72.7
2001,Utah,UT,73226,72.4
2002,Utah,UT,75999,72.8
2003,Utah,UT,79149,73.4
2004,Utah,UT,85702,74.9
2005,Utah,UT,94195,73.9
2006,Utah,UT,106124,73.5
2007,Utah,UT,114653,74.9
2008,Utah,UT,115985,76.2
2009,Utah,UT,113333,74.1
2010,Utah,UT,117961,72.5
2011,Utah,UT,124539,71.4
2012,Utah,UT,128721,71.1
2013,Utah,UT,134252,70.9
2014,Utah,UT,141343,70.9
2015,Utah,UT,149524,69.9
2016,Utah,UT,157902,71.3
2017,Utah,UT,165703,71.0
2018,Utah,UT,177336,72.2
1997,Virginia,VA,217252,68.4
1998,Virginia,VA,233096,69.4
1999,Virginia,VA,249798,71.2
2000,Virginia,VA,266886,73.9
2001,Virginia,VA,284002,75.1
2002,Virginia,VA,293276,74.4
2003,Virginia,VA,309981,75.0
2004,Virginia,VA,332251,73.4
2005,Virginia,VA,360300,71.2
2006,Virginia,VA,379129,71.1
2007,Virginia,VA,392917,71.5
2008,Virginia,VA,399032,70.6
2009,Virginia,VA,408919,69.7
2010,Virginia,VA,422902,68.7
2011,Virginia,VA,432393,67.9
2012,Virginia,VA,444950,67.8
2013,Virginia,VA,455070,68.1
2014,Virginia,VA,463782,68.7
2015,Virginia,VA,484628,67.1
2016,Virginia,VA,493866,66.3
2017,Virginia,VA,510425,67.5
2018,Virginia,VA,534449,66.0
1997,Vermont,VT,15415,69.1
1998,Vermont,VT,16073,69.1
1999,Vermont,VT,17159,69.1
2000,Vermont,VT,18312,68.7
2001,Vermont,VT,19274,69.8
2002,Vermont,VT,20163,70.3
2003,Vermont,VT,21130,71.4
2004,Vermont,VT,22666,72.0
2005,Vermont,VT,23509,74.2
2006,Vermont,VT,24310,74.0
2007,Vermont,VT,24697,73.7
2008,Vermont,VT,25678,72.8
2009,Vermont,VT,25868,74.3
2010,Vermont,VT,27108,73.6
2011,Vermont,VT,28135,74.6
2012,Vermont,VT,28887,73.4
2013,Vermont,VT,29099,73.0
2014,Vermont,VT,29714,73.5
2015,Vermont,VT,30709,71.8
2016,Vermont,VT,31635,71.3
2017,Vermont,VT,32623,71.1
2018,Vermont,VT,33725,71.4
1997,Washington,WA,193898,62.9
1998,Washington,WA,210205,64.9
1999,Washington,WA,230555,64.8
2000,Washington,WA,237832,63.6
2001,Washington,WA,239426,66.4
2002,Washington,WA,248189,66.9
2003,Washington,WA,258263,65.9
2004,Washington,WA,270115,66.0
2005,Washington,WA,296101,67.6
2006,Washington,WA,317167,66.7
2007,Washington,WA,346443,66.8
2008,Washington,WA,355678,66.2
2009,Washington,WA,353632,65.5
2010,Washington,WA,365552,64.4
2011,Washington,WA,379539,64.2
2012,Washington,WA,400863,63.5
2013,Washington,WA,419345,62.7
2014,Washington,WA,442442,63.6
2015,Washington,WA,470582,62.6
2016,Washington,WA,492943,61.6
2017,Washington,WA,522426,63.6
2018,Washington,WA,563151,64.9
1997,Wisconsin,WI,153241,68.3
1998,Wisconsin,WI,162523,70.1
1999,Wisconsin,WI,172258,70.9
2000,Wisconsin,WI,180539,71.8
2001,Wisconsin,WI,187939,72.3
2002,Wisconsin,WI,194813,72.2
2003,Wisconsin,WI,203135,72.8
2004,Wisconsin,WI,215139,73.3
2005,Wisconsin,WI,225698,71.1
2006,Wisconsin,WI,235709,70.2
2007,Wisconsin,WI,243767,70.5
2008,Wisconsin,WI,244760,70.4
2009,Wisconsin,WI,245539,70.4
2010,Wisconsin,WI,254354,71.0
2011,Wisconsin,WI,263882,68.5
2012,Wisconsin,WI,274344,67.5
2013,Wisconsin,WI,282385,68.5
2014,Wisconsin,WI,293519,67.8
2015,Wisconsin,WI,304852,66.6
2016,Wisconsin,WI,312141,67.7
2017,Wisconsin,WI,321584,68.0
2018,Wisconsin,WI,336972,67.9
1997,West Virginia,WV,38840,74.6
1998,West Virginia,WV,40086,74.8
1999,West Virginia,WV,41831,74.8
2000,West Virginia,WV,42607,75.9
2001,West Virginia,WV,43978,76.4
2002,West Virginia,WV,45434,77.2
2003,West Virginia,WV,46668,78.1
2004,West Virginia,WV,49272,80.3
2005,West Virginia,WV,53259,81.3
2006,West Virginia,WV,56530,78.4
2007,West Virginia,WV,58636,77.6
2008,West Virginia,WV,62067,77.8
2009,West Virginia,WV,62958,78.7
2010,West Virginia,WV,65274,79
2011,West Virginia,WV,68525,78.7
2012,West Virginia,WV,69399,75.8
2013,West Virginia,WV,71038,76.8
2014,West Virginia,WV,72027,75.6
2015,West Virginia,WV,70341,74.9
2016,West Virginia,WV,69814,74.8
2017,West Virginia,WV,73099,75.1
2018,West Virginia,WV,77477,74.7
1997,Wyoming,WY,14724,67.6
1998,Wyoming,WY,14928,70
1999,Wyoming,WY,15711,69.8
2000,Wyoming,WY,17205,71
2001,Wyoming,WY,18661,73.5
2002,Wyoming,WY,19116,73
2003,Wyoming,WY,21028,72.9
2004,Wyoming,WY,23187,72.8
2005,Wyoming,WY,27178,72.8
2006,Wyoming,WY,32405,73.7
2007,Wyoming,WY,36603,73.2
2008,Wyoming,WY,42540,73.3
2009,Wyoming,WY,36042,73.8
2010,Wyoming,WY,37401,73.4
2011,Wyoming,WY,39371,71.1
2012,Wyoming,WY,38432,70.3
2013,Wyoming,WY,38923,70.5
2014,Wyoming,WY,39372,70.8
2015,Wyoming,WY,37740,69.9
2016,Wyoming,WY,35905,70.2
2017,Wyoming,WY,37625,70.4
2018,Wyoming,WY,39371,71.1
